cargas,forca,Lo,L,x,K
1,0.1,27,29.9,0.0029,34.48
2,0.15,27,31.3,0.0043,34.88
3,0.23,27,34,0.007,32.86
4,0.45,27,41.4,0.0144,31.25
5,0.55,27,44.2,0.0172,31.98
6,0.68,27,47.2,0.0202,33.66
7,0.72,27,50,0.023,31.3
8,0.83,27,51.9,0.0249,33.33
9,1.05,27,58,0.031,33.87
10,1.15,27,61.2,0.0342,33.63
11,1.21,27,66,0.039,31.03
12,1.23,27,66.3,0.0393,31.3
13,1.35,27,69.3,0.0423,31.91
14,1.55,27,76.4,0.0494,31.38
15,1.71,27,82.5,0.0555,30.81
16,1.75,27,83.8,0.0568,30.81
17,1.92,27,91.7,0.0647,29.68
18,2.04,27,94.6,0.0676,30.18
19,2.15,27,97.4,0.0704,30.54
20,2.19,27,98.5,0.0715,30.63
21,2.25,27,99.74,0.07274,30.93
22,2.4,27,105.5,0.0785,30.57
23,2.55,27,108.2,0.0812,31.4
24,2.72,27,112.3,0.0853,31.89
25,2.85,27,119.5,0.0925,30.81
26,3,27,124.5,0.0975,30.77
